word,word_count,antonyms
have,4,lack
get,3,end
more,4,less
take,4,give
look,4,back
back,4,veer
work,4,idle
right,5,wrong
new,3,old
find,4,lose
give,4,take
good,4,evil
show,4,hide
home,4,away
leave,5,enter
old,3,new
keep,4,lose
move,4,"rest,stay"
head,4,"foot,rear,tail"
away,4,home
face,4,back
live,4,dead
small,5,large
open,4,"fold,shut"
large,5,small
love,4,hate
black,5,white
mother,6,father
best,4,evil
better,6,worsen
stand,5,yield
sit,3,lie
father,6,mother
less,4,more
later,5,early
hard,4,"easy,soft"
light,5,heavy
fall,4,rise
lose,4,"find,gain,keep"
include,7,exclude
level,5,raise
walk,4,ride
white,5,black
figure,6,ground
foot,4,head
pass,4,fail
stay,4,move
major,5,minor
military,8,civilian
death,5,birth
increase,8,decrease
former,6,latter
remain,6,change
south,5,north
pull,4,push
require,7,obviate
raise,5,"level,lower"
north,5,south
outside,7,indoors
fire,4,hire
federal,7,unitary
ground,6,figure
full,4,"thin,wane"
activity,8,inaction
attack,6,defend
west,4,east
rise,4,"fall,wane"
above,5,below
white,5,black
wrong,5,right
draw,4,push
single,6,"common,double"
lie,3,sit
push,4,pull
defense,7,"offence,offense"
east,4,west
dead,4,live
involve,7,obviate
represent,9,prosecute
reduce,6,expand
demand,6,supply
poor,4,rich
similar,7,unalike
forward,7,reverse
lay,3,sit
success,7,failure
lack,4,have
release,7,confine
serious,7,playful
meeting,7,diverge
loss,4,gain
accept,6,"refuse,reject"
fast,4,slow
miss,4,have
heat,4,cool
fail,4,pass
ride,4,walk
notice,6,ignore
gain,4,"lose,loss"
senior,6,junior
clean,5,dirty
employee,8,employer
below,5,above
bear,4,bull
positive,8,negative
heavy,5,light
slow,4,fast
cool,4,"heat,warm"
supply,6,"demand,recall"
fresh,5,"salty,stale"
majority,8,minority
warm,4,cool
recall,6,forget
western,7,eastern
rich,4,"lean,poor"
lady,4,Lord
southern,8,northern
safety,6,danger
lift,4,fall
spread,6,gather
dry,3,wet
hide,4,show
double,6,single
lean,4,rich
refuse,6,accept
wild,4,tame
bright,6,dimmed
strength,8,weakness
fair,4,foul
correct,7,falsify
hate,4,love
quiet,5,"noisy,sound"
competition,11,cooperation
failure,7,success
negative,8,positive
soft,4,"hard,loud"
gather,6,spread
survive,7,succumb
historical,10,synchronic
advance,7,"regress,retreat"
ignore,6,notice
shut,4,open
commit,6,divest
clothes,7,undress
background,10,foreground
sweet,5,salty
hire,4,fire
thin,4,"full,gain"
united,6,divide
birth,5,death
eastern,7,western
minority,8,majority
urban,5,rural
software,8,hardware
relative,8,absolute
northern,8,southern
bomb,4,pass
danger,6,safety
internal,8,external
permit,6,forbid
sick,4,well
appreciate,10,depreciate
tight,5,"leaky,loose"
defend,6,attack
requirement,11,inessential
essential,9,adjective
busy,4,idle
rose,4,"fall,wane"
confidence,10,diffidence
increased,9,decreased
strip,5,dress
rural,5,urban
opening,7,closing
invest,6,divest
civilian,8,military
yield,5,stand
loud,4,soft
reject,6,accept
