original,mirrored
,
eye,eye
gam,mag
dam,mad
moor,room
dad,dad
mmm,mmm
agar,raga
gal,lag
flow,wolf
bad,dab
net,ten
eke,eke
yaw,way
rime,emir
gum,mug
decaf,faced
bub,bub
peep,peep
tide,edit
diva,avid
tar,rat
rotator,rotator
deliver,reviled
pol,lop
drab,bard
cite,etic
pus,sup
tae,eat
ban,nab
yap,pay
yam,may
cam,mac
tab,bat
rood,door
at,ta
ewe,ewe
rebut,tuber
rep,per
timer,remit
ye,ey
heh,heh
amma,amma
stun,nuts
pool,loop
kook,kook
tang,gnat
bra,arb
bis,sib
racecar,racecar
ah,ha
perp,prep
lamina,animal
mam,mam
bud,dub
madam,madam
reed,deer
yard,dray
ward,draw
nori,iron
nap,pan
cod,doc
tam,mat
ah-ha,ah-ha
top,pot
oho,oho
keep,peek
bulb,blub
tun,nut
dna,and
retool,looter
gel,leg
pin,nip
dual,laud
oat,tao
leper,repel
pap,pap
lever,revel
lager,regal
mart,tram
civic,civic
god,dog
evil,live
war,raw
sos,sos
tort,trot
pal,lap
dud,dud
redraw,warder
noon,noon
keel,leek
dew,wed
part,trap
eh,he
gorp,prog
pm,mp
wot,tow
nim,min
brag,garb
sap,pas
deed,deed
wan,naw
hap,pah
naan,naan
tink,knit
mum,mum
bag,gab
pow,wop
duo,oud
nod,don
ram,mar
tenet,tenet
tug,gut
pep,pep
plug,gulp
denim,mined
lad,dal
oo,oo
huh,huh
bun,nub
bob,bob
hah,hah
flog,golf
deb,bed
burg,grub
gig,gig
pop,pop
tap,pat
loot,tool
heh-heh,heh-heh
til,lit
sis,sis
orb,bro
deified,deified
pit,tip
oh,ho
rap,par
sub,bus
eve,eve
liar,rail
dim,mid
time,emit
nun,nun
yah,hay
on,no
bird,drib
decal,laced
toot,toot
gob,bog
leer,reel
poop,poop
ooo,ooo
oh-ho,oh-ho
mm,mm
ya,ay
oof,foo
level,level
laid,dial
a,a
gag,gag
knob,bonk
sag,gas
i,i
raja,ajar
new,wen
doom,mood
tuba,abut
drawer,reward
tenner,rennet
mmmm,mmmm
kayak,kayak
op,po
nan,nan
mom,mom
wow,wow
refer,refer
tot,tot
oooo,oooo
wonk,know
tub,but
pup,pup
rag,gar
rotor,rotor
zz,zz
zzzz,zzzz
tut,tut
radar,radar
aha,aha
mm-mm,mm-mm
teem,meet
ere,ere
bib,bib
m,m
zzz,zzz
ma'am,ma'am
