word,rotated_word,length
he,eh,2
on,no,2
at,ta,2
one,eon,3
there,ether,5
its,sit,3
how,who,3
over,rove,4
those,ethos,5
own,now,3
end,den,3
hear,rhea,4
open,nope,4
idea,aide,4
add,dad,3
art,tar,3
oh,ho,2
arm,mar,3
eat,tea,3
pm,mp,2
earth,heart,5
item,mite,4
ring,grin,4
earn,near,4
leaf,flea,4
lots,slot,4
user,ruse,4
ought,tough,5
anger,range,5
hip,phi,3
leap,plea,4
lane,elan,4
hint,thin,4
ah,ha,2
anchor,rancho,6
sip,psi,3
outer,route,5
ours,sour,4
rim,mri,3
eighth,height,6
opt,top,3
riot,trio,4
ink,kin,3
pea,ape,3
rob,bro,3
hank,khan,4
arc,car,3
ache,each,4
lump,plum,4
ant,tan,3
po,op,2
owl,low,3
reef,free,4
app,pap,3
beta,abet,4
apt,tap,3
wee,ewe,3
anew,wane,4
atm,mat,3
amen,name,4
iced,dice,4
trappings,strapping,9
easel,lease,5
mm,mm,2
mire,emir,4
mite,emit,4
manatee,emanate,7
mmm,mmm,3
ya,ay,2
vile,evil,4
romp,prom,4
lea,ale,3
umm,mum,3
yer,rye,3
rapt,trap,4
yea,aye,3
ahh,hah,3
ugh,hug,3
evolved,devolve,7
angled,dangle,6
