word,swapped_word,length,same_first_last
and,dna,3,false
that,that,4,true
he,eh,2,false
on,no,2,false
but,tub,3,false
at,ta,2,false
what,thaw,4,false
new,wen,3,false
may,yam,3,false
high,high,4,true
part,tarp,4,false
keep,peek,4,false
eye,eye,3,true
room,moor,4,false
area,area,4,true
war,raw,3,false
lead,deal,4,false
bad,dab,3,false
team,meat,4,false
experience,experience,10,true
level,level,5,true
health,health,6,true
top,pot,3,false
read,dear,4,false
test,test,4,true
remember,remember,8,true
oh,ho,2,false
rather,rather,6,true
local,local,5,true
nation,nation,6,true
else,else,4,true
sometimes,sometimes,9,true
god,dog,3,false
everyone,everyone,8,true
drop,prod,4,false
window,window,6,true
evidence,evidence,8,true
per,rep,3,false
pm,mp,2,false
bed,deb,3,false
dead,dead,4,true
thus,shut,4,false
demand,demand,6,true
series,series,6,true
treatment,treatment,9,true
river,river,5,true
thought,thought,7,true
success,success,7,true
serious,serious,7,true
executive,executive,9,true
tonight,tonight,7,true
leg,gel,3,false
example,example,7,true
ten,net,3,false
legal,legal,5,true
entire,entire,6,true
treat,treat,5,true
onto,onto,4,true
edge,edge,4,true
employee,employee,8,true
throughout,throughout,10,true
target,target,6,true
museum,museum,6,true
exercise,exercise,8,true
mom,mom,3,true
gas,sag,3,false
tend,dent,4,false
threat,threat,6,true
species,species,7,true
examine,examine,7,true
effective,effective,9,true
researcher,researcher,10,true
trust,trust,5,true
dad,dad,3,true
estimate,estimate,8,true
tour,rout,4,false
sales,sales,5,true
refer,refer,5,true
status,status,6,true
encourage,encourage,9,true
reporter,reporter,8,true
stress,stress,6,true
nod,don,3,false
iraqi,iraqi,5,true
reader,reader,6,true
catholic,catholic,8,true
tool,loot,4,false
text,text,4,true
exchange,exchange,8,true
emerge,emerge,6,true
engage,engage,6,true
grab,brag,4,false
regular,regular,7,true
critic,critic,6,true
tip,pit,3,false
growing,growing,7,true
bus,sub,3,false
yesterday,yesterday,9,true
kick,kick,4,true
israeli,israeli,7,true
depend,depend,6,true
pool,loop,4,false
liberal,liberal,7,true
ticket,ticket,6,true
explore,explore,7,true
engine,engine,6,true
pop,pop,3,true
northern,northern,8,true
escape,escape,6,true
bomb,bomb,4,true
terrorist,terrorist,9,true
muslim,muslim,6,true
characteristic,characteristic,14,true
ensure,ensure,6,true
expensive,expensive,9,true
notion,notion,6,true
bob,bob,3,true
estate,estate,6,true
tight,tight,5,true
label,label,5,true
defend,defend,6,true
knock,knock,5,true
classic,classic,7,true
pan,nap,3,false
eliminate,eliminate,9,true
emphasize,emphasize,9,true
medium,medium,6,true
everywhere,everywhere,10,true
expose,expose,6,true
talent,talent,6,true
drag,grad,4,false
agenda,agenda,6,true
ban,nab,3,false
exposure,exposure,8,true
enable,enable,6,true
excuse,excuse,6,true
expense,expense,7,true
embrace,embrace,7,true
recover,recover,7,true
existence,existence,9,true
evaluate,evaluate,8,true
maximum,maximum,7,true
extreme,extreme,7,true
negotiation,negotiation,11,true
enhance,enhance,7,true
pump,pump,4,true
ease,ease,4,true
pat,tap,3,false
elsewhere,elsewhere,9,true
throat,throat,6,true
designer,resigned,8,false
mood,doom,4,false
clinic,clinic,6,true
register,register,8,true
tourist,tourist,7,true
repair,repair,6,true
minimum,minimum,7,true
rear,rear,4,true
twist,twist,5,true
enterprise,enterprise,10,true
elite,elite,5,true
gang,gang,4,true
mechanism,mechanism,9,true
mad,dam,3,false
aunt,tuna,4,false
tournament,tournament,10,true
statistics,statistics,10,true
deer,reed,4,false
entrance,entrance,8,true
partnership,partnership,11,true
extensive,extensive,9,true
evolve,evolve,6,true
withdraw,withdraw,8,true
bat,tab,3,false
episode,episode,7,true
