word,swapped_word,length,same
for,fro,3,false
from,form,4,false
all,all,3,true
see,see,3,true
look,look,4,true
two,tow,3,false
good,good,4,true
need,need,4,true
off,off,3,true
feel,feel,4,true
too,too,3,true
keep,keep,4,true
seem,seem,4,true
week,week,4,true
issue,issue,5,true
room,room,4,true
book,book,4,true
meet,meet,4,true
door,door,4,true
offer,offer,5,true
add,add,3,true
allow,allow,5,true
office,office,6,true
food,food,4,true
foot,foot,4,true
appear,appear,6,true
official,official,8,true
effect,effect,6,true
effort,effort,6,true
according,according,9,true
approach,approach,8,true
soon,soon,4,true
attack,attack,6,true
eat,eta,3,false
attention,attention,9,true
opportunity,opportunity,11,true
deep,deep,4,true
address,address,7,true
officer,officer,7,true
seek,seek,4,true
cup,cpu,3,false
account,account,7,true
attempt,attempt,7,true
poor,poor,4,true
occur,occur,5,true
meeting,meeting,7,true
accept,accept,6,true
arrive,arrive,6,true
feeling,feeling,7,true
associate,associate,9,true
bar,bra,3,false
affect,affect,6,true
association,association,11,true
access,access,6,true
apply,apply,5,true
attorney,attorney,8,true
cool,cool,4,true
wood,wood,4,true
assume,assume,6,true
effective,effective,9,true
attitude,attitude,8,true
weekend,weekend,7,true
attend,attend,6,true
announce,announce,8,true
immediately,immediately,11,true
feed,feed,4,true
tool,tool,4,true
salt,slat,4,false
appeal,appeal,6,true
additional,additional,10,true
ear,era,3,false
annual,annual,6,true
cook,cook,4,true
appropriate,appropriate,11,true
egg,egg,3,true
grab,garb,4,false
affair,affair,6,true
root,root,4,true
arrest,arrest,6,true
assessment,assessment,10,true
apparently,apparently,10,true
application,application,11,true
football,football,8,true
addition,addition,8,true
pool,pool,4,true
peer,peer,4,true
farmer,framer,6,false
assistant,assistant,9,true
immigrant,immigrant,9,true
moon,moon,4,true
seed,seed,4,true
opposite,opposite,8,true
appreciate,appreciate,10,true
accident,accident,8,true
appearance,appearance,10,true
wrap,warp,4,false
fee,fee,3,true
tooth,tooth,5,true
silver,sliver,6,false
essential,essential,9,true
opposition,opposition,10,true
assess,assess,6,true
beer,beer,4,true
forth,froth,5,false
afford,afford,6,true
attract,attract,7,true
oppose,oppose,6,true
tired,tried,5,false
upper,upper,5,true
illegal,illegal,7,true
accuse,accuse,6,true
apple,apple,5,true
approve,approve,7,true
assistance,assistance,10,true
boot,boot,4,true
asset,asset,5,true
roof,roof,4,true
error,error,5,true
deeply,deeply,6,true
calm,clam,4,false
opponent,opponent,8,true
immediate,immediate,9,true
ally,ally,4,true
hook,hook,4,true
arrange,arrange,7,true
occasion,occasion,8,true
essentially,essentially,11,true
approximately,approximately,13,true
immigration,immigration,11,true
trap,tarp,4,false
illustrate,illustrate,10,true
illness,illness,7,true
attach,attach,6,true
assist,assist,6,true
mood,mood,4,true
accomplish,accomplish,10,true
arrangement,arrangement,11,true
essay,essay,5,true
teenager,teenager,8,true
attribute,attribute,9,true
assault,assault,7,true
wooden,wooden,6,true
accompany,accompany,9,true
occasionally,occasionally,12,true
inner,inner,5,true
teen,teen,4,true
loose,loose,5,true
assumption,assumption,10,true
effectively,effectively,11,true
apparent,apparent,8,true
aggressive,aggressive,10,true
approval,approval,8,true
alliance,alliance,8,true
assign,assign,6,true
cooperation,cooperation,11,true
assure,assure,6,true
innocent,innocent,8,true
slave,salve,5,false
offense,offense,7,true
deer,deer,4,true
