rank,word,total,length
1,the,23782115,3
2,be,16711569,2
3,and,11654595,3
4,of,11155504,2
5,to,11044891,2
6,a,10999967,1
7,in,7879229,2
8,that,5610091,4
9,have,5336419,4
10,i,4455521,1
11,it,4194790,2
12,for,3580532,3
13,you,3354252,3
14,he,3138899,2
15,on,2960839,2
16,with,2911620,4
17,do,2800961,2
18,as,2600321,2
19,say,2083051,3
20,this,2053868,4
21,they,2014769,4
22,we,1973643,2
23,his,1964584,3
24,but,1956457,3
25,at,1923946,2
26,not,1783640,3
27,from,1777279,4
28,n't,1744284,NA
29,by,1643462,2
30,she,1608851,3
31,or,1488977,2
32,her,1485650,3
33,what,1283090,4
34,one,1280185,3
35,go,1251786,2
36,will,1249323,4
37,there,1206249,5
38,about,1178791,5
39,their,1170105,5
40,all,1159536,3
41,can,1118227,3
42,who,1103170,3
43,get,1080432,3
44,so,1039682,2
45,when,1027885,4
46,more,1019596,4
47,if,1011860,2
48,my,1007382,2
49,out,1002695,3
50,would,1000182,5
51,know,974670,4
52,up,962446,2
53,make,934436,4
54,like,899520,4
55,think,841599,5
56,time,837976,4
57,year,834997,4
58,me,775446,2
59,just,763479,4
60,see,754368,3
61,people,752499,6
62,which,739360,5
63,them,735837,4
64,him,731462,3
65,take,728831,4
66,some,728750,4
67,into,723324,4
68,your,719841,4
69,than,687720,4
70,come,680619,4
71,now,678424,3
72,could,669783,5
73,other,663078,5
74,look,606001,4
75,its,604138,3
76,then,591377,4
77,how,588188,3
78,no,586621,2
79,our,574490,3
80,use,560831,3
81,want,560688,4
82,because,559716,7
83,back,557231,4
84,over,554180,4
85,these,554163,5
86,two,552785,3
87,work,549714,4
88,right,544314,5
89,only,535268,4
90,first,521269,5
91,way,518846,3
92,well,515038,4
93,also,504559,4
94,after,495517,5
95,state,493036,5
96,day,486307,3
97,even,480143,4
98,most,477529,4
99,new,473007,3
100,man,460818,3
101,very,456302,4
102,here,447805,4
103,where,443192,5
104,thing,438886,5
105,find,428053,4
106,tell,420804,4
107,give,415914,4
108,many,415218,4
109,those,410262,5
110,down,409914,4
111,good,409404,4
112,through,407549,7
113,much,402033,4
114,call,398860,4
115,need,385944,4
116,us,385782,2
117,woman,382235,5
118,any,379853,3
119,before,364422,6
120,life,361340,4
121,child,360478,5
122,such,350003,4
123,last,347160,4
124,may,345687,3
125,long,341070,4
126,still,338764,5
127,should,335540,6
128,school,333120,6
129,world,328689,5
130,try,323814,3
131,show,322435,4
132,mean,316715,4
133,off,315264,3
134,american,310637,8
135,ask,308827,3
136,little,307633,6
137,feel,305979,4
